,no,economic,figure,stratgy,rule,puzzle,party,sum_score,
215,189932,4.821428571,5,4.722222222,4.487179487,4.482758621,5,28.5135889,3.333333333
216,8217,4.642857143,4.84375,4.722222222,4.615384615,4.655172414,4.814814815,28.29420121,7.368421053
217,167355,4.642857143,5,4.305555556,4.487179487,4.827586207,4.62962963,27.89280802,8.4
218,54043,4.821428571,4.84375,4.861111111,4.358974359,4.827586207,4.814814815,28.52766506,7
219,128271,4.642857143,5,4.861111111,4.487179487,4.482758621,4.62962963,28.10353599,7
220,56933,4.642857143,4.84375,4.722222222,4.358974359,4.482758621,4.62962963,27.68019197,4.375
221,39242,5,4.84375,4.861111111,4.358974359,4.310344828,4.814814815,28.18899511,0
222,40237,4.642857143,5,4.861111111,4.358974359,4.482758621,4.62962963,27.97533086,3.888888889
223,103885,4.642857143,4.84375,4.861111111,4.871794872,4.482758621,4.814814815,28.51708656,2.916666667
224,233867,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.30488497,7.368421053
225,171499,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,7.777777778
226,215471,4.642857143,4.84375,4.861111111,4.358974359,4.655172414,4.62962963,27.99149466,8.235294118
227,35570,4.642857143,4.84375,4.861111111,4.487179487,4.310344828,4.62962963,27.7748722,0
228,8129,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.62962963,28.02501956,3.888888889
229,88,4.642857143,4.6875,4.722222222,4.487179487,5,4.62962963,28.16938848,10
230,146652,4.821428571,4.84375,4.722222222,4.615384615,4.827586207,4.62962963,28.46000125,5.833333333
231,69789,4.642857143,4.84375,4.861111111,4.358974359,4.655172414,4.62962963,27.99149466,3.888888889
232,185343,4.642857143,4.84375,4.861111111,4.743589744,4.310344828,4.62962963,28.03128245,7
233,203420,4.642857143,4.84375,4.861111111,4.358974359,4.310344828,4.62962963,27.64666707,0
234,263711,4.642857143,5,4.722222222,4.743589744,4.310344828,4.62962963,28.04864357,3.684210526
235,15062,4.642857143,5,4.583333333,4.487179487,4.827586207,4.62962963,28.1705858,9.130434783
236,97842,4.821428571,4.84375,4.722222222,4.615384615,4.482758621,4.62962963,28.11517366,7.777777778
237,261594,4.642857143,4.6875,4.861111111,4.615384615,4.655172414,4.62962963,28.09165491,6.363636364
238,77423,4.642857143,4.84375,5,4.487179487,4.827586207,4.814814815,28.61618765,10.5
239,215,4.642857143,4.84375,4.861111111,4.358974359,5,4.62962963,28.33632224,3.5
240,155068,4.642857143,4.84375,5,4.615384615,4.655172414,4.62962963,28.3867938,6.363636364
241,140620,4.821428571,4.84375,5,4.615384615,4.655172414,4.814814815,28.75055042,5.833333333
242,144344,4.821428571,5,4.861111111,4.615384615,4.827586207,4.62962963,28.75514013,6.363636364
243,244114,4.642857143,4.84375,4.722222222,4.358974359,5,4.814814815,28.38261854,14.73684211
244,284083,4.642857143,4.84375,5,4.358974359,4.827586207,4.62962963,28.30279734,3.5
245,2511,4.642857143,4.84375,4.861111111,4.358974359,4.310344828,4.814814815,27.83185226,3.684210526
246,255681,4.642857143,4.84375,4.861111111,4.615384615,4.827586207,4.62962963,28.42031871,15.55555556
247,19184,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.62962963,28.02501956,3.888888889
248,97207,4.642857143,4.84375,5,4.487179487,4.482758621,4.62962963,28.08617488,3.684210526
249,253344,4.642857143,5,5,4.615384615,4.482758621,4.62962963,28.37063001,7
250,98778,4.642857143,4.84375,5,4.358974359,4.827586207,4.62962963,28.30279734,7.368421053
251,129622,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.814814815,28.34909363,7.368421053
252,119890,4.821428571,4.84375,4.722222222,4.615384615,4.655172414,4.62962963,28.28758745,7.368421053
253,12,4.821428571,4.84375,4.861111111,4.358974359,4.482758621,4.814814815,28.18283748,3.333333333
254,245744,4.642857143,5,4.722222222,4.358974359,4.655172414,4.62962963,28.00885577,3.888888889
255,177678,4.642857143,4.84375,4.722222222,4.487179487,4.482758621,4.62962963,27.8083971,3.684210526
256,36235,4.642857143,5,4.722222222,4.358974359,4.655172414,4.62962963,28.00885577,3.888888889
257,139976,4.642857143,4.6875,4.722222222,4.615384615,4.310344828,4.62962963,27.60793844,3.5
258,77130,4.821428571,5,4.861111111,4.615384615,4.827586207,4.62962963,28.75514013,9.130434783
259,21790,4.642857143,5,4.861111111,4.358974359,4.655172414,4.62962963,28.14774466,7.777777778
260,31627,4.642857143,5,4.861111111,4.358974359,4.655172414,4.814814815,28.33292984,7.368421053
261,56692,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,8.75
262,143741,4.642857143,5,4.861111111,4.615384615,4.655172414,4.814814815,28.5893401,3.181818182
263,100901,4.642857143,4.6875,5,4.615384615,4.482758621,4.814814815,28.24331519,6.086956522
264,177639,4.642857143,5,4.861111111,4.743589744,4.482758621,4.62962963,28.35994625,10
265,161417,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,5,28.39538993,11.66666667
266,159675,4.821428571,4.84375,4.861111111,4.871794872,4.482758621,4.814814815,28.69565799,14
267,243430,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.814814815,28.21020475,3.684210526
268,10547,4.642857143,4.84375,4.722222222,4.487179487,4.482758621,4.814814815,27.99358229,2.916666667
269,205398,4.821428571,4.84375,5,4.743589744,4.482758621,4.814814815,28.70634175,14
270,148319,4.642857143,5,5,4.358974359,4.827586207,4.62962963,28.45904734,3.333333333
271,180593,4.821428571,4.84375,4.861111111,4.358974359,4.482758621,5,28.36802266,14.73684211
272,153016,4.642857143,4.84375,4.722222222,4.358974359,4.482758621,4.814814815,27.86537716,0
273,24068,4.642857143,5,4.861111111,4.487179487,4.655172414,4.62962963,28.27594978,3.5
274,229220,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.62962963,28.11969978,11.05263158
275,137988,4.642857143,5,5,4.615384615,4.482758621,4.62962963,28.37063001,7
276,555,4.821428571,4.84375,4.861111111,4.358974359,4.655172414,4.814814815,28.35525127,11.66666667
277,31481,4.642857143,4.6875,4.861111111,4.487179487,4.482758621,4.814814815,27.97622118,3.181818182
278,170042,4.642857143,4.84375,4.722222222,4.615384615,4.482758621,4.62962963,27.93660223,7.368421053
279,171,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,0
280,198740,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.814814815,28.03779095,3.888888889
281,5782,4.642857143,4.84375,4.861111111,4.358974359,4.482758621,4.814814815,28.00426605,3.888888889
282,17405,4.642857143,5,4.861111111,4.358974359,4.482758621,4.62962963,27.97533086,6.666666667
283,264220,4.642857143,4.6875,4.444444444,4.487179487,4.655172414,4.814814815,27.7319683,8.076923077
284,188834,4.642857143,4.84375,4.861111111,4.358974359,4.655172414,4.62962963,27.99149466,0
285,163370,4.642857143,5,4.722222222,4.358974359,4.482758621,4.62962963,27.83644197,4.117647059
286,150658,4.642857143,4.84375,5,4.615384615,4.655172414,4.814814815,28.57197899,13.33333333
287,223770,4.821428571,5,4.861111111,4.358974359,4.482758621,4.814814815,28.33908748,3.5
